gender,race ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,associates degree,free reduced,completed,51,72,73
male,group B,associates degree,standard,none,75,78,77
female,group A,associates degree,free reduced,completed,62,76,76
male,group E,some high school,standard,none,94,93,86
male,group C,bachelors degree,free reduced,none,76,76,76
female,group C,some college,standard,completed,84,91,97
female,group E,some college,standard,none,63,51,48
female,group C,high school,standard,completed,59,75,76
female,group D,associates degree,standard,none,32,34,35
male,group E,some high school,free reduced,none,75,71,61
female,group B,bachelors degree,standard,completed,73,88,84
male,group C,masters degree,free reduced,completed,74,73,70
male,group D,some college,free reduced,none,73,72,73
female,group C,some college,standard,none,85,84,86
female,group B,some college,free reduced,none,74,69,71
male,group C,some college,standard,none,65,64,66
male,group D,some college,standard,completed,83,80,78
male,group B,some high school,standard,none,72,63,63
male,group D,associates degree,standard,completed,47,57,59
male,group B,high school,standard,none,68,67,54
female,group D,some college,free reduced,none,37,48,51
female,group B,high school,standard,none,59,67,67
male,group D,some college,free reduced,none,56,53,54
female,group D,high school,standard,none,73,67,73
female,group C,bachelors degree,standard,completed,76,82,89
female,group A,some college,standard,completed,55,65,69
female,group C,high school,standard,none,51,59,57
female,group A,some high school,free reduced,none,51,63,60
female,group C,some college,standard,none,59,67,63
male,group E,bachelors degree,standard,completed,68,57,57
female,group B,some college,free reduced,none,63,86,84
female,group C,some college,standard,none,57,72,67
female,group C,some high school,free reduced,completed,35,58,53
female,group A,high school,standard,completed,79,98,95
male,group D,some high school,standard,none,92,80,82
male,group C,some college,free reduced,none,73,70,67
male,group E,high school,standard,none,81,71,72
male,group A,some college,standard,none,53,42,41
female,group E,high school,standard,none,55,59,57
female,group B,some high school,standard,none,60,65,67
female,group C,some college,free reduced,completed,55,63,58
male,group C,masters degree,standard,none,73,68,63
male,group C,associates degree,free reduced,none,74,76,69
female,group B,associates degree,free reduced,completed,60,70,78
female,group D,some high school,standard,none,42,44,48
male,group E,masters degree,standard,none,85,75,70
male,group D,some high school,standard,completed,51,53,54
male,group B,high school,standard,none,81,75,71
female,group C,bachelors degree,standard,none,59,65,67
female,group B,some college,free reduced,completed,55,71,70
male,group D,some high school,standard,completed,77,76,80
male,group B,bachelors degree,standard,none,65,65,58
male,group C,some college,standard,completed,60,60,58
male,group E,bachelors degree,free reduced,completed,98,99,93
female,group C,associates degree,standard,none,77,76,72
female,group D,some high school,free reduced,none,50,61,59
female,group D,bachelors degree,standard,none,83,78,83
male,group B,high school,free reduced,none,51,44,41
male,group B,masters degree,standard,none,76,75,73
male,group C,masters degree,free reduced,none,66,63,56
female,group C,some high school,standard,none,46,43,49
female,group B,some college,free reduced,completed,64,77,82
female,group A,high school,free reduced,none,47,70,65
female,group C,associates degree,standard,completed,70,79,85
female,group C,bachelors degree,free reduced,completed,78,85,89
female,group D,associates degree,free reduced,none,43,58,56
male,group E,associates degree,free reduced,none,52,50,43
female,group C,some high school,standard,none,42,58,51
female,group D,associates degree,standard,none,59,60,64
female,group E,masters degree,standard,none,97,100,97
male,group D,some college,free reduced,completed,51,54,50
male,group B,some high school,standard,none,46,46,46
male,group B,associates degree,standard,none,71,67,62
male,group D,some high school,free reduced,completed,28,27,24
male,group C,bachelors degree,standard,none,96,83,85
female,group E,bachelors degree,standard,completed,97,96,96
female,group C,high school,standard,completed,77,88,89
female,group B,bachelors degree,free reduced,none,80,84,90
female,group C,associates degree,standard,none,57,67,64
male,group E,high school,free reduced,completed,53,48,49
male,group B,some college,standard,none,68,62,61
female,group D,associates degree,free reduced,none,23,38,40
female,group D,bachelors degree,standard,none,77,81,81
female,group C,bachelors degree,standard,none,67,66,70
male,group C,associates degree,free reduced,completed,67,62,65
female,group B,some college,standard,completed,59,59,63
female,group C,associates degree,free reduced,completed,54,58,64
